date,price,ret_x,pos,ret_y,pos_for_ret_t,trade,cost,pnl_gross,pnl_net
2000-01-04,1924.5,,0.0,,,0.0,0.0,,
2000-01-05,1931.25,0.0035074045206546778,0.0,0.0035074045206546778,0.0,0.0,0.0,0.0,0.0
2000-01-06,1924.75,-0.0033656957928802633,0.0,-0.0033656957928802633,0.0,0.0,0.0,-0.0,-0.0
2000-01-07,1932.5,0.004026496947655556,0.0,0.004026496947655556,0.0,0.0,0.0,0.0,0.0
2000-01-10,1920.0,-0.0064683053040103244,0.0,-0.0064683053040103244,0.0,0.0,0.0,-0.0,-0.0
2000-01-11,1925.5,0.0028645833333333925,0.0,0.0028645833333333925,0.0,0.0,0.0,0.0,0.0
2000-01-12,1947.75,0.011555440145416762,0.0,0.011555440145416762,0.0,0.0,0.0,0.0,0.0
2000-01-13,1947.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-14,1952.75,0.002567064561673771,0.0,0.002567064561673771,0.0,0.0,0.0,0.0,0.0
2000-01-17,1959.25,0.0033286390987068426,0.0,0.0033286390987068426,0.0,0.0,0.0,0.0,0.0
2000-01-18,1968.25,0.004593594487686703,0.0,0.004593594487686703,0.0,0.0,0.0,0.0,0.0
2000-01-19,1992.75,0.012447605741140677,0.0,0.012447605741140677,0.0,0.0,0.0,0.0,0.0
2000-01-20,1981.5,-0.005645464809935996,0.0,-0.005645464809935996,0.0,0.0,0.0,-0.0,-0.0
2000-01-21,1976.0,-0.0027756749936916902,0.0,-0.0027756749936916902,0.0,0.0,0.0,-0.0,-0.0
2000-01-24,1952.5,-0.01189271255060731,0.0,-0.01189271255060731,0.0,0.0,0.0,-0.0,-0.0
2000-01-25,1945.0,-0.003841229193341844,0.0,-0.003841229193341844,0.0,0.0,0.0,-0.0,-0.0
2000-01-26,1918.5,-0.01362467866323902,0.0,-0.01362467866323902,0.0,0.0,0.0,-0.0,-0.0
2000-01-27,1928.0,0.004951785248892282,0.0,0.004951785248892282,0.0,0.0,0.0,0.0,0.0
2000-01-28,1924.0,-0.0020746887966804906,0.0,-0.0020746887966804906,0.0,0.0,0.0,-0.0,-0.0
2000-01-31,1933.0,0.004677754677754775,0.0,0.004677754677754775,0.0,0.0,0.0,0.0,0.0
2000-02-01,1921.75,-0.005819968960165567,0.0,-0.005819968960165567,0.0,0.0,0.0,-0.0,-0.0
2000-02-02,1894.5,-0.014179784050995181,-0.0,-0.014179784050995181,0.0,-0.0,0.0,-0.0,-0.0
2000-02-03,1884.25,-0.005410398522037507,-0.0,-0.005410398522037507,-0.0,0.0,0.0,0.0,0.0
