date,pnl
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,-0.0
2013-01-04,-0.0
2013-01-07,-0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,-0.0
2013-01-14,-0.0
2013-01-15,-0.0
2013-01-16,-0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-21,-0.0
2013-01-22,0.0
2013-01-23,-0.0
2013-01-24,-0.0
2013-01-25,-0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,-0.0
2013-02-01,0.0
2013-02-04,0.0
2013-02-05,-0.0
2013-02-06,-0.0
2013-02-07,-0.0
2013-02-08,0.0
2013-02-11,-0.0
2013-02-12,0.0
2013-02-13,-0.0
2013-02-14,0.0
2013-02-15,-0.0
2013-02-18,-0.0
2013-02-19,-0.0
2013-02-20,-0.0
2013-02-21,-0.0
2013-02-22,-0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,-0.0
2013-03-01,-0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,-0.0
2013-03-07,0.0
2013-03-08,-0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,-0.0
2013-03-14,0.0
2013-03-15,-0.0
2013-03-18,-0.0
2013-03-19,-0.0
2013-03-20,0.0
2013-03-21,-0.0
2013-03-22,0.0
2013-03-25,-0.0
2013-03-26,0.0
2013-03-27,-0.0
2013-03-28,-0.0
2013-03-29,0.0
2013-04-01,0.0
2013-04-01,0.0
2013-04-02,-0.0
2013-04-02,-0.0
2013-04-03,-0.00011647038508082694
2013-04-03,-0.0
2013-04-04,0.005570231374556734
2013-04-04,0.0
2013-04-05,-0.0
2013-04-05,-0.003547904038657987
2013-04-08,0.004505090006806278
2013-04-08,0.0
2013-04-09,0.019172972094420867
2013-04-09,0.0
2013-04-10,-0.005938947994747828
2013-04-10,-0.0
2013-04-11,0.0
2013-04-11,-0.0030714944654781527
2013-04-12,-0.0
2013-04-12,0.017776411159058775
2013-04-15,0.01817732288237608
2013-04-15,-0.0
2013-04-16,0.0
2013-04-16,0.00703500582838913
2013-04-17,-0.0
2013-04-17,-0.015587517718648095
2013-04-18,0.0
2013-04-18,0.0005340023010131101
2013-04-19,-0.0
2013-04-19,-0.006534144972751818
2013-04-22,-0.0
2013-04-22,-0.0037213654789899453
2013-04-23,-0.0046063269595952505
2013-04-23,-0.0
2013-04-24,0.0
2013-04-24,0.011438960532270013
2013-04-25,0.0
2013-04-25,0.00949483500126126
2013-04-26,-0.0
2013-04-26,-0.009296474938560858
2013-04-29,0.007692310768603442
2013-04-29,0.0
2013-04-30,-0.0
2013-04-30,0.005356759813656177
2013-05-01,-0.0
2013-05-01,0.014278730134264837
2013-05-02,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-03,0.0
2013-05-06,-4.1774736851125326e-05
2013-05-06,0.0
2013-05-07,-0.0
2013-05-07,0.00019153937116517242
2013-05-08,0.0
2013-05-08,-0.005903835002919713
2013-05-09,-0.0
2013-05-09,0.0024611597300852103
2013-05-10,0.0
2013-05-10,-0.0008021719729452354
2013-05-13,0.0
2013-05-13,-0.0015657327996694967
2013-05-14,-0.0
2013-05-14,-0.0
2013-05-15,-0.0
2013-05-15,-0.0
2013-05-16,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-17,0.0
2013-05-20,0.0
2013-05-20,0.0
2013-05-21,-0.0
2013-05-21,-0.0
2013-05-22,0.0
2013-05-22,0.0
2013-05-23,-0.0
2013-05-23,-0.0
2013-05-24,-0.0
2013-05-24,-0.0
2013-05-27,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-28,0.0
2013-05-29,-0.0
2013-05-29,-0.0
2013-05-30,0.0
2013-05-30,0.0
2013-05-31,-0.0
2013-05-31,-0.0
2013-06-03,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-05,-8.559175441186191e-05
2013-06-06,-0.0
2013-06-06,0.009184896516363448
2013-06-07,-0.0
2013-06-07,0.008168265588044078
2013-06-10,-0.0
2013-06-10,0.005195830566360006
2013-06-11,-0.0
2013-06-11,-0.0077042620640590375
2013-06-12,0.0
2013-06-12,0.004423194326965616
2013-06-13,-0.0
2013-06-13,-0.005931971667500676
2013-06-14,0.0034233546725515613
2013-06-14,0.0
2013-06-17,-0.0
2013-06-17,-0.0006862121080216307
2013-06-18,-0.0
2013-06-18,-0.0
2013-06-19,-0.0
2013-06-19,-0.0
2013-06-20,-0.0
2013-06-20,-0.0
2013-06-21,0.0
2013-06-21,0.0
2013-06-24,-8.950511106526092e-05
2013-06-24,-0.0
2013-06-25,0.0
2013-06-25,0.011182547609352883
2013-06-26,-0.0
2013-06-26,-0.0053583858213087565
2013-06-27,0.0
2013-06-27,0.0
2013-06-28,0.0
2013-06-28,0.0
2013-07-01,0.0
2013-07-01,0.0
2013-07-01,0.0
2013-07-02,-0.0
2013-07-02,-0.0
2013-07-02,-0.0
2013-07-03,0.0
2013-07-03,-6.871674572776763e-05
2013-07-03,0.0
2013-07-04,-0.0
2013-07-04,-0.0
2013-07-04,0.00281693128013157
2013-07-05,-0.0
2013-07-05,-0.0
2013-07-05,0.010612370323425047
2013-07-08,-0.00283533585982259
2013-07-08,0.0
2013-07-08,0.0
2013-07-09,-0.0
2013-07-09,-0.0
2013-07-09,-0.0
2013-07-10,0.0
2013-07-10,-6.533800105814587e-05
2013-07-10,-6.533800105814588e-05
2013-07-11,0.0
2013-07-11,0.01116888906976849
2013-07-11,0.011168889069768486
2013-07-12,-0.00286242671302353
2013-07-12,-0.002862426713023529
2013-07-12,-0.0
2013-07-15,-0.002444451624515719
2013-07-15,-0.0024444516245157198
2013-07-15,-0.0
2013-07-16,-0.004800969773899947
2013-07-16,-0.004800969773899946
2013-07-16,0.0
2013-07-17,0.006265702890746771
2013-07-17,0.0062657028907467695
2013-07-17,-0.0
2013-07-18,0.0
2013-07-18,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-19,0.0
2013-07-19,0.0
2013-07-22,0.0
2013-07-22,0.0
2013-07-22,0.0
2013-07-23,0.0
2013-07-23,0.0
2013-07-23,0.0
2013-07-24,0.0
2013-07-24,0.0
2013-07-24,0.0
2013-07-25,-0.0
2013-07-25,-0.0
2013-07-25,-0.0
2013-07-26,-0.0
2013-07-26,-0.0
2013-07-26,-0.0
2013-07-29,-6.603362827705715e-05
2013-07-29,0.0
2013-07-29,0.0
2013-07-30,-0.0
2013-07-30,-0.0
2013-07-30,-0.009152669229058028
2013-07-31,0.0
2013-07-31,0.009475019437429035
2013-07-31,-6.874356493686297e-05
2013-08-01,0.007926825801828161
2013-08-01,0.0
2013-08-01,0.007926825801828161
2013-08-02,0.00039287649628152874
2013-08-02,0.0
2013-08-02,0.00039287649628152874
2013-08-05,-0.0011232014716710574
2013-08-05,-0.0
2013-08-05,-0.0011232014716710574
2013-08-06,-0.0010458933236665512
2013-08-06,-0.0010458933236665512
2013-08-06,0.0
2013-08-07,0.0
2013-08-07,-0.0001426848582177824
2013-08-07,-7.272844300647144e-05
2013-08-08,0.0
2013-08-08,0.0
2013-08-08,-0.012989290500782834
2013-08-09,-0.006368223084532517
2013-08-09,0.0
2013-08-09,0.0
2013-08-12,-7.729489187775433e-05
2013-08-12,-0.0
2013-08-12,0.0016761488311010382
2013-08-13,-0.0017055830506744508
2013-08-13,0.0
2013-08-13,-0.00170558305067445
2013-08-14,0.0
2013-08-14,-0.0030474291406106372
2013-08-14,-0.003047429140610636
2013-08-15,0.0006474624990733721
2013-08-15,-0.0
2013-08-15,0.000647462499073372
2013-08-16,-0.00655462643784569
2013-08-16,-0.006554626437845692
2013-08-16,0.0
2013-08-19,0.00660848270993784
2013-08-19,0.006608482709937838
2013-08-19,-0.0
2013-08-20,0.0
2013-08-20,0.0
2013-08-20,0.0
2013-08-21,-0.0
2013-08-21,-0.0
2013-08-21,-0.0
2013-08-22,0.0
2013-08-22,0.0
2013-08-22,0.0
2013-08-23,0.0
2013-08-23,0.0
2013-08-23,0.0
2013-08-26,0.0
2013-08-26,0.0
2013-08-26,0.0
2013-08-27,-0.0
2013-08-27,-0.0
2013-08-27,-0.0
2013-08-28,-0.0
2013-08-28,-0.0
2013-08-28,-0.0
2013-08-29,-0.0
2013-08-29,-0.0
2013-08-29,-0.0
2013-08-30,-0.0
2013-08-30,-0.0
2013-08-30,-0.0
2013-09-02,0.0
2013-09-02,-9.130895365185002e-05
2013-09-02,-9.130895365184998e-05
2013-09-03,0.0005887102105212559
2013-09-03,0.0
2013-09-03,0.0005887102105212561
2013-09-04,-0.010257753298601312
2013-09-04,-0.010257753298601308
2013-09-04,-0.0
2013-09-05,-0.0
2013-09-05,-0.0
2013-09-05,-0.0
2013-09-06,0.0
2013-09-06,0.0
2013-09-06,0.0
2013-09-09,0.0
2013-09-09,0.0
2013-09-09,0.0
2013-09-10,-0.0
2013-09-10,-0.0
2013-09-10,-0.0
2013-09-11,0.0
2013-09-11,0.0
2013-09-11,0.0
2013-09-12,-0.0
2013-09-12,-0.0
2013-09-12,-0.0
2013-09-13,-0.0
2013-09-13,-0.0
2013-09-13,-0.0
2013-09-16,-0.00010084717028402931
2013-09-16,0.0
2013-09-16,0.0
2013-09-17,-0.0009489265611294221
2013-09-17,-0.0
2013-09-17,-0.0
2013-09-18,0.0
2013-09-18,0.0
2013-09-18,0.010257071850643324
2013-09-19,0.0
2013-09-19,0.0
2013-09-19,0.0
2013-09-20,-0.0
2013-09-20,-0.0
2013-09-20,-0.0
2013-09-23,-9.141635452845255e-05
2013-09-23,-0.0
2013-09-23,-9.141635452845253e-05
2013-09-24,-0.0
2013-09-24,0.008243664820601179
2013-09-24,0.00824366482060118
2013-09-25,-0.0043976762339061806
2013-09-25,0.0
2013-09-25,-0.00439767623390618
2013-09-26,0.0
2013-09-26,0.0
2013-09-26,0.0
2013-09-27,0.0
2013-09-27,0.0
2013-09-27,0.0
2013-09-30,0.0
2013-09-30,0.0
2013-09-30,0.0
2013-10-01,-0.0
2013-10-01,-0.0
2013-10-01,-0.0
2013-10-01,0.0
2013-10-02,0.0
2013-10-02,0.0
2013-10-02,0.0
2013-10-02,0.0
2013-10-03,-0.0
2013-10-03,-0.0
2013-10-03,-0.0
2013-10-03,-0.0
2013-10-04,0.0
2013-10-04,0.0
2013-10-04,0.0
2013-10-04,0.0
2013-10-07,-0.0
2013-10-07,-0.0
2013-10-07,-0.0
2013-10-07,-0.0
2013-10-08,-0.0
2013-10-08,-0.0
2013-10-08,-0.0
2013-10-08,-0.0
2013-10-09,-0.0
2013-10-09,-0.0
2013-10-09,-0.0
2013-10-09,-0.0
2013-10-10,0.0
2013-10-10,0.0
2013-10-10,0.0
2013-10-10,0.0
2013-10-11,0.0
2013-10-11,0.0
2013-10-11,0.0
2013-10-11,0.0
2013-10-14,0.0
2013-10-14,0.0
2013-10-14,0.0
2013-10-14,0.0
2013-10-15,-0.0
2013-10-15,-0.0
2013-10-15,-0.0
2013-10-15,-0.0
2013-10-16,0.0
2013-10-16,0.0
2013-10-16,0.0
2013-10-16,0.0
2013-10-17,-0.0
2013-10-17,-0.0
2013-10-17,-0.0
2013-10-17,-0.0
2013-10-18,0.0
2013-10-18,0.0
2013-10-18,0.0
2013-10-18,0.0
2013-10-21,-0.0
2013-10-21,-0.0
2013-10-21,-0.0
2013-10-21,-0.0
2013-10-22,0.0
2013-10-22,0.0
2013-10-22,0.0
2013-10-22,0.0
2013-10-23,-0.0
2013-10-23,-0.0
2013-10-23,-0.0
2013-10-23,-0.0
2013-10-24,0.0
2013-10-24,0.0
2013-10-24,0.0
2013-10-24,0.0
2013-10-25,0.0
2013-10-25,0.0
2013-10-25,0.0
2013-10-25,0.0
