,leverage,pre_target_vol,post_target_vol,distance_to_target,strategy_returns,targeted_returns
0,0.0,0.0,,,,
1,0.0,0.0,,,0.0,0.0
2,0.0,0.0,,,-0.0,-0.0
3,0.0,0.0,,,0.0,0.0
4,0.0,0.0,,,-0.0,-0.0
5,0.0,0.0,,,0.0,0.0
6,0.0,0.0,,,0.0,0.0
7,0.0,0.0,,,0.0,0.0
8,0.0,0.0,,,0.0,0.0
9,0.0,0.0,,,0.0,0.0
10,0.0,0.0,,,0.0,0.0
11,0.0,0.0,,,0.0,0.0
12,0.0,0.0,,,-0.0,-0.0
13,0.0,0.0,,,-0.0,-0.0
14,0.0,0.0,,,-0.0,-0.0
15,0.0,0.0,,,-0.0,-0.0
16,0.0,0.0,,,-0.0,-0.0
17,0.0,0.0,,,0.0,0.0
18,0.0,0.0,,,-0.0,-0.0
19,0.0,0.0,,,0.0,0.0
20,0.0,0.0,,,-0.0,-0.0
21,0.0,0.0,,,-0.0,-0.0
22,0.0,0.0,,,-0.0,-0.0
23,0.0,0.0,,,0.0,0.0
24,0.0,0.0,,,0.0,0.0
25,0.0,0.0,,,-0.0,-0.0
26,0.0,0.0,,,0.0,0.0
27,0.0,0.0,,,-0.031872509960159334,-0.0
28,0.0,0.0,,,-0.0,-0.0
29,0.0,0.0,,,-0.0,-0.0
30,0.0,0.0,,,0.008686632957344731,0.0
31,0.0,0.0,,,-0.0,-0.0
32,0.0,0.0,,,0.0,0.0
33,0.0,0.0,,,-0.0,-0.0
34,0.0,0.0,,,-0.0,-0.0
35,0.0,0.0,,,0.0,0.0
36,0.0,0.0,,,0.0,0.0
37,0.0,0.0,,,0.0,0.0
38,0.0,0.0,,,-0.0,-0.0
39,0.0,0.0,,,-0.0,-0.0
40,0.0,0.0,,,-0.0,-0.0
41,0.0,0.0,,,0.0,0.0
42,0.0,0.0,,,-0.0,-0.0
43,0.0,0.0,,,0.0,0.0
44,0.0,0.0,,,0.0,0.0
45,0.0,0.0,,,-0.0,-0.0
46,0.0,0.0,,,-0.0,-0.0
47,0.0,0.0,,,-0.013892747985551512,-0.0
48,0.0,0.0,,,0.0013702384214853147,0.0
49,0.0,0.0,,,0.008918770581778257,0.0
50,0.0,0.0,,,-0.01550602242835386,-0.0
51,0.0,0.0,,,-0.003135650988411731,-0.0
52,0.0,0.0,,,-0.006795324816526227,-0.0
53,0.0,0.0,,,-0.006749460043196542,-0.0
54,0.0,0.0,,,0.009922231161169193,0.0
55,0.0,0.0,,,-0.012053087757313063,-0.0
56,0.0,0.0,,,0.005352602703064369,0.0
57,0.0,0.0,,,0.0001345351809498574,0.0
58,0.0,0.0,,,0.006593110871905283,0.0
59,0.0,0.0,,,0.008939455505891925,0.0
60,0.0,0.0,,,0.0,0.0
61,0.0,0.0,,,0.004088307440719641,0.0
62,0.0,0.0,,,0.0,0.0
63,1.3068635806574564,0.07651908085899221,0.052195914082208965,-0.04780408591779104,-0.010166734444896353,-0.013286534980250746
64,1.337417643215042,0.07477095917443427,0.05057442058521115,-0.04942557941478885,-0.0,-0.0
65,1.3802449411110402,0.07245090854635129,0.049005158701464026,-0.05099484129853598,-0.0,-0.0
66,1.4202023757212214,0.07041250015457622,0.047486278492836986,-0.05251372150716302,-0.0,-0.0
67,1.13299259803344,0.08826182993037393,0.046016010416336524,-0.05398398958366348,-0.0,-0.0
68,1.1649955454455438,0.08583723808296258,0.04767299078495961,-0.052327009215040396,0.003693706492399529,0.004303151609828736
69,1.1385106084703691,0.08783405201147286,0.07910181863560536,-0.02089818136439464,-0.014401825181805217,-0.016396630750820942
70,1.156652150884356,0.08645641641140057,0.08427253978665872,-0.015727460213341288,-0.00773123418611199,-0.008942348650357097
71,1.187435702741555,0.08421508614666016,0.08410733020670776,-0.01589266979329225,0.004324173524898889,0.005134678028314739
72,1.189071441966723,0.08409923615237122,0.09470608075921738,-0.005293919240782624,0.010367049593723698,0.012327162609349568
73,1.1415196990722367,0.08760251801285111,0.117459508265025,0.017459508265025,0.01642129105322765,0.01874522722145804
74,1.1559057095111334,0.08651224678377353,0.12013406241722246,0.02013406241722246,0.0084916522740357,0.009815549346741064
75,1.0930898385709675,0.09148378886289284,0.1412597720629886,0.04125977206298859,-0.018725504427347994,-0.020468658611649756
76,1.0779291063464753,0.09277047944176889,0.1490074894532864,0.049007489453286396,-0.013964092333998313,-0.015052301570526467
77,1.1039112503265518,0.09058699236049879,0.14644719759085564,0.04644719759085564,0.005621135469364824,0.006205234684241451
78,1.138891282345221,0.08780469352094661,0.14194920226840158,0.04194920226840157,-0.0,-0.0
