dt,TrendCore_pos,TrendImpulse_pos,HookCore_pos,StockScore_pos,price,instr_ret,TrendCore_pos_scaled,TrendImpulse_pos_scaled,HookCore_pos_scaled,StockScore_pos_scaled,TrendCore_ret_scaled,TrendImpulse_ret_scaled,HookCore_ret_scaled,StockScore_ret_scaled,composite_pos_unlev,composite_pos,pnl_gross,turnover,cost,pnl_net,equity
2000-06-21,-0.4962261259701184,0.0,0.0,0.0,1799.5,0.0,-0.45189122155207184,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.11297280538801796,-0.11297280538801796,-0.0,0.0,0.0,-0.0,1.0
2000-06-22,-0.4872388224917154,0.0,0.0,0.0,1801.0,0.0008335648791331085,-0.4437068811178093,0.0,0.0,0.0,-0.0003698584727294953,0.0,0.0,0.0,-0.11092672027945233,-0.11092672027945233,-9.246461818237382e-05,0.0020460851085656317,3.0691276628484475e-07,-9.277153094865867e-05,0.9999072284690513
2000-06-23,-0.4872388224917154,0.0,0.0,0.0,1777.0,-0.013325930038867284,-0.4437068811178093,0.0,0.0,0.0,0.00591280685553993,-0.0,-0.0,-0.0,-0.11092672027945233,-0.11092672027945233,0.0014782017138849825,0.0,0.0,0.0014782017138849825,1.0013852930479004
2000-06-26,-0.4872388224917154,0.0,0.0,0.0,1803.0,0.014631401238041741,-0.4437068811178093,0.0,0.0,0.0,-0.0064920534097147545,0.0,0.0,0.0,-0.11092672027945233,-0.11092672027945233,-0.0016230133524286886,0.0,0.0,-0.0016230133524286886,0.9997600313463579
2000-06-27,-0.4703604622693888,0.0,0.0,-1.0,1794.0,-0.004991680532445919,-0.42833650374448584,0.0,0.0,-0.8276957433331692,0.0021381189870772984,-0.0,-0.0,0.004131592728784534,-0.31400806176941376,-0.31400806176941376,0.0015674279289654583,0.20308134148996143,3.046220122349421e-05,0.001536965727741964,1.0012966282505036
2000-06-28,-0.4703604622693888,0.0,0.0,0.0,1808.0,0.0078037904124861335,-0.42833650374448584,0.0,0.0,0.0,-0.0033426483012390495,0.0,0.0,0.0,-0.10708412593612146,-0.10708412593612146,-0.0008356620753097624,0.2069239358332923,3.103859037499384e-05,-0.0008667006656847562,1.000428803796251
2000-06-29,0.5604079644888694,0.0,0.0,0.0,1780.0,-0.015486725663716783,0.5103387878767895,0.0,0.0,0.0,-0.007903476803401591,-0.0,-0.0,-0.0,0.1275846969691974,0.1275846969691974,-0.001975869200850398,0.23466882290531885,3.5200323435797827e-05,-0.0020110695242861955,0.9984168719177182
2000-06-30,0.5604079644888694,0.0,0.5148162488170033,1.0,1790.0,0.00561797752808979,0.5103387878767895,0.0,1.2531877406844958,0.8276957433331692,0.002867071842004386,0.0,0.007040380565643113,0.00464997608614132,0.6478055679736137,0.6478055679736137,0.003639357123447205,0.5202208710044163,7.803313065066244e-05,0.0035613239927965424,1.0019725578784917
2000-07-03,0.5604079644888694,0.0,0.5166591487534352,0.0,1794.0,0.0022346368715084886,0.5103387878767895,0.0,1.2576738065632473,0.0,0.0011404218723504232,0.0,0.002810444260476667,0.0,0.4420031486100092,0.4420031486100092,0.0009877165332067726,0.20580241936360444,3.087036290454066e-05,0.000956846170302232,1.0029312914832458
2000-07-04,0.5675247657752721,0.0,0.5209498382007177,1.0,1787.0,-0.0039018952062430667,0.5168197445587228,0.0,1.2681183864046464,0.8276957433331692,-0.002016576483785447,-0.0,-0.004948065052860983,-0.0032295820531394845,0.6531584685741346,0.6531584685741346,-0.0025485558974464788,0.2111553199641254,3.167329799461881e-05,-0.0025802291954410976,1.0003434988839393
